Id,Name,logDc/km,LENGTH,slope,solarinso,soils,ag,grass,shrub,hi,lo,dev,forest,pop1,pop2
1,CeGr to FeCr,-5.664895471,5449.643077,11.32885081,16332.75483,thirteen,0,0,0.553191489,0.255319149,0.191489362,0,0.446808511,1,2
2,CeGr to FlCr,-5.786712446,8352.643123,12.82288988,16142.01141,one,0.013513514,0.013513514,0.108108108,0.621621622,0.243243243,0,0.864864865,1,3
43,CeGr to Krum,-5.466544321,7232.600997,15.85276227,16208.67009,one,0,0,0.196969697,0.621212121,0.181818182,0,0.803030303,4,1
3,FlCr to Krum,-5.473659814,6196.52105,14.15696453,15871.13758,twelve,0,0,0.050847458,0.593220339,0.355932203,0,0.949152542,3,4
44,Krum to P37,-5.088241872,4470.825712,15.38099963,15883.31497,thirteen,0,0.05,0,0.325,0.625,0,0.95,12,4
46,CeGr to LaTr,-5.997767569,8766.481578,9.709769224,16298.74581,one5,0,0.2,0.213333333,0.266666667,0.306666667,0.013333333,0.573333334,5,1
4,FeCr to LaTr,-5.39823406,3428.453847,5.40866733,16184.46985,thirteen,0.03125,0.4375,0.03125,0,0.5,0,0.5,2,5
6,CeGr to Lyon,-5.026734189,5214.239151,13.22099052,16455.43386,one,0,0.181818182,0.340909091,0.204545455,0.272727273,0,0.477272728,1,6
7,FeCr to Lyon,-5.051805943,4483.080799,10.10400945,16549.70184,thirteen,0.024390244,0.268292683,0.146341463,0.097560976,0.463414634,0,0.56097561,2,6
31,Krum to Wetw,-4.971887962,3940.112664,7.581685978,16354.40113,twelve,0.411764706,0.441176471,0,0.088235294,0.058823529,0,0.147058823,4,7
5,Lyon to Wetw,-5.585368438,5561.421472,7.773213829,16268.79824,twelve,0.638297872,0.127659574,0,0,0.127659574,0.106382979,0.127659574,6,7
30,Mort to Wetw,-5.871889341,2735.96594,5.861317656,16357.92657,twelve,0.863636364,0.090909091,0,0,0,0,0,8,7
41,P19 to Wetw,-6.113628113,6729.421432,6.946759035,16260.01981,twelve,0.566666667,0.3,0,0,0.133333333,0,0.133333333,9,7
32,P28 to Wetw,-5.905660132,4212.469236,7.844232346,16346.99459,twelve,0.435897436,0.538461538,0,0,0,0,0,11,7
34,Brink to Wetw,-5.608850275,4701.304655,2.932109606,16354.39723,twelve,0.590909091,0.045454545,0,0,0,0.340909091,0,13,7
33,Teare to Wetw,-5.873349122,7116.038736,7.791005344,16315.14346,twelve,0.666666667,0.3,0,0,0.033333333,0,0.033333333,17,7
