"","patch","id","Elements2008","Elements2008.4","cat","type","Ha","area","x","y","size.cat","sizeCat","size.cat2","pj08","pj89","pop09","grazing","Dc.89","Dc.09","Sampled"
"1","A01",1,1,1,"3","A",0.135662315,0.0014,4431469.698,5430049.77,400,"0.4","20",0.23,0.27,0,1,1,0,0
"2","A02",2,2,2,"4","B",0.181714488,0.0018,4431614.02,5429592.697,2500,"2.5","50",0.5,0.4,2,1,0,1,1
"3","A03",3,3,3,"4","B",0.205717975,0.0021,4431320.064,5429355.82,2500,"2.5","50",0.69,0.46,2,3,0,1,1
"4","A04",4,0,0,"4","B",0.142470623,0.0014,4431246.138,5429023.435,2500,"2.5","50",0.58,0.56,2,3,0,1,1
"5","A05",5,2,2,"4","B",0.134483144,0.0013,4431036.568,5428803.846,2500,"2.5","50",0.65,0.56,2,2,0,1,1
"6","A06",6,2,2,"4","B",0.200595018,0.002,4431027.393,5428604.128,2500,"2.5","50",0.77,0.44,2,2,0,1,1
"7","A07",7,0,0,"3","N",0.021347361,2e-04,4431284.144,5428348.618,400,"0.4","20",1e-05,0.06,0,1,0,0,0
"8","A07a",8,1,1,"4","A",0.199938693,0.002,4431362.262,5427799.014,2500,"2.5","50",0.46,0.29,2,2,0,1,1
"9","A08",9,3,2,"5","F",0.464180916,0.0046,4428813.938,5426460.702,2500,"2.5","50",0.56,0.35,2,3,0,1,1
"10","A09",10,4,3,"3","F",0.070431246,7e-04,4428809.148,5426177.862,400,"0.4","20",0.52,0.27,2,3,0,1,1
"11","A10",11,1,1,"4","F",0.107007407,0.0011,4428821.554,5426097.733,2500,"2.5","50",0.17,0.23,0,3,0,0,0
"12","A10a",12,0,0,"4","F",0.090729264,9e-04,4428811.544,5426058.383,2500,"2.5","50",0.1,0.25,0,3,0,0,0
"13","A11",13,4,4,"5","A",0.654129976,0.0065,4428920.174,5426180.575,2500,"2.5","50",0.63,0.38,2,2,0,1,1
"14","A12",14,3,2,"3","A",0.060276124,6e-04,4428787.07,5425875.475,400,"0.4","20",0.33,0.25,2,2,1,1,1
"15","A13",15,3,3,"5","F",0.380203452,0.0038,4428870.355,5425784.033,2500,"2.5","50",0.73,0.27,0,2,0,0,0
"16","A14",16,3,2,"4","A",0.465878495,0.0047,4428438.608,5425107.992,2500,"2.5","50",0.67,0.46,2,2,1,1,1
"17","A15",17,4,3,"4","A",0.372544419,0.0037,4428373.552,5425020.603,2500,"2.5","50",0.48,0.27,3,2,1,1,0
"18","A16",18,3,2,"5","A",1.068260508,0.0107,4428033.769,5425181.76,2500,"2.5","50",0.33,0.27,1,1,1,1,1
"19","A17",19,2,2,"3","F",0.143732168,0.0014,4427985.771,5425396.647,400,"0.4","20",0.29,0.23,0,1,0,0,0
