population	family	longitude	latitude	elev	max_rad	tmax_july	tmin_jan	ann_ppt	gdd_aug	AWS050
blk cyn	59	-120.2114003	39.0747603	2123	75.84	23.1	-6.7	1472	265	12.28
blk cyn	60	-120.2114003	39.0747603	2123	75.84	23.1	-6.7	1472	265	12.28
blk cyn	61	-120.2114003	39.0747603	2123	75.84	23.1	-6.7	1472	265	12.28
blk cyn	63	-120.2130494	39.07543953	2144	77.64	23.1	-6.7	1472	265	3.92
blk cyn	64	-120.2130494	39.07543953	2144	77.64	23.1	-6.7	1472	265	3.92
blk cyn	65	-120.2130494	39.07543953	2144	77.64	23.1	-6.7	1472	265	3.92
blk cyn	67	-120.2130494	39.07543953	2144	77.64	23.1	-6.7	1472	265	3.92
blk cyn	69	-120.2130494	39.07543953	2144	77.64	23.1	-6.7	1472	265	3.92
blk cyn	72	-120.2163816	39.07476269	2214	80.61	23.1	-6.7	1472	265	3.49
blk cyn	73	-120.2163816	39.07476269	2214	80.61	23.1	-6.7	1472	265	3.49
flume	76	-119.9149689	39.20698611	2391	60.86	23.4	-7.8	797	288	2.75
flume	77	-119.9149689	39.20698611	2391	60.86	23.4	-7.8	797	288	2.75
flume	78	-119.9149689	39.20698611	2391	60.86	23.4	-7.8	797	288	2.75
flume	79	-119.9149689	39.20698611	2391	60.86	23.4	-7.8	797	288	2.75
flume	81	-119.9144213	39.20606298	2422	63.36	23.4	-7.8	797	288	3.54
flume	82	-119.9144213	39.20606298	2422	63.36	23.4	-7.8	797	288	3.54
flume	83	-119.9144213	39.20606298	2422	63.36	23.4	-7.8	797	288	3.54
flume	84	-119.9144213	39.20606298	2422	63.36	23.4	-7.8	797	288	3.54
flume	85	-119.9144213	39.20606298	2422	63.36	23.4	-7.8	797	288	3.54
flume	86	-119.9144213	39.20606298	2422	63.36	23.4	-7.8	797	288	3.54
flume	87	-119.9144213	39.20606298	2422	63.36	23.4	-7.8	797	288	3.54
flume	88	-119.9125318	39.20573207	2413	58.11	23.4	-7.8	797	288	2.02
flume	89	-119.9125318	39.20573207	2413	58.11	23.4	-7.8	797	288	2.02
flume	90	-119.9125318	39.20573207	2413	58.11	23.4	-7.8	797	288	2.02
flume	92	-119.9125318	39.20573207	2413	58.11	23.4	-7.8	797	288	2.02
flume	93	-119.9125318	39.20573207	2413	58.11	23.4	-7.8	797	288	2.02
incline lk	94	-119.9306177	39.2936058	2554	77.98	21.9	-7.6	1394	251	3.67
incline lk	95	-119.9306177	39.2936058	2554	77.98	21.9	-7.6	1394	251	3.67
incline lk	96	-119.9306177	39.2936058	2554	77.98	21.9	-7.6	1394	251	3.67
incline lk	97	-119.9306177	39.2936058	2554	77.98	21.9	-7.6	1394	251	3.67
incline lk	98	-119.9306177	39.2936058	2554	77.98	21.9	-7.6	1394	251	3.67
incline lk	99	-119.9306177	39.2936058	2554	77.98	21.9	-7.6	1394	251	3.67
incline lk	100	-119.9306177	39.2936058	2554	77.98	21.9	-7.6	1394	251	3.67
incline lk	101	-119.9319802	39.29513883	2597	79.98	21.9	-7.6	1394	251	3.58
