population	plot	 family 	block	d13c
blk cyn	BC1	59	5	-30.174
blk cyn	BC1	59	2	-29.651
blk cyn	BC1	59	4	-29.563
blk cyn	BC1	59	3	-29.201
blk cyn	BC1	59	1	-28.998
blk cyn	BC1	60	4	-31.234
blk cyn	BC1	60	3	-30.665
blk cyn	BC1	60	1	-30.52
blk cyn	BC1	60	5	-30.099
blk cyn	BC1	60	2	-29.281
blk cyn	BC1	61	5	-31.388
blk cyn	BC1	61	3	-30.906
blk cyn	BC1	61	3	-30.26
blk cyn	BC1	61	4	-30.205
blk cyn	BC1	61	2	-28.983
blk cyn	BC2	63	5	-31.511
blk cyn	BC2	63	4	-31.127
blk cyn	BC2	63	1	-30.922
blk cyn	BC2	63	3	-30.852
blk cyn	BC2	63	2	-30.444
blk cyn	BC2	64	4	-30.303
blk cyn	BC2	64	5	-30.154
blk cyn	BC2	64	3	-30.153
blk cyn	BC2	64	1	-29.909
blk cyn	BC2	64	2	-29.579
blk cyn	BC2	65	1	-31.903
blk cyn	BC2	65	4	-31.373
blk cyn	BC2	65	5	-31.366
blk cyn	BC2	65	2	-29.644
blk cyn	BC2	65	3	-29.321
blk cyn	BC2	67	5	-30.838
blk cyn	BC2	67	2	-30.683
blk cyn	BC2	67	4	-30.077
blk cyn	BC2	67	3	-29.957
blk cyn	BC2	67	1	-29.835
blk cyn	BC2	69	2	-30.873
blk cyn	BC2	69	1	-30.665
blk cyn	BC2	69	4	-30.599
blk cyn	BC2	69	3	-29.893
blk cyn	BC2	69	5	-29.605
blk cyn	BC3	72	5	-31.369
blk cyn	BC3	72	3	-30.327
blk cyn	BC3	72	1	-28.754
blk cyn	BC3	72	2	-28.329
blk cyn	BC3	72	4	-28.275
blk cyn	BC3	73	1	-29.956
blk cyn	BC3	73	1	-29.075
blk cyn	BC3	73	1	-28.08
flume	FT1	76	1	-31.766
flume	FT1	76	2	-30.731
flume	FT1	76	3	-30.286
flume	FT1	76	4	-29.549
flume	FT1	76	5	-28.707
flume	FT1	77	5	-31.785
flume	FT1	77	2	-31.352
flume	FT1	77	1	-29.795
flume	FT1	77	3	-29.737
flume	FT1	77	4	-29.332
flume	FT1	78	1	-31.302
flume	FT1	78	5	-30.713
