ID,mom.isolation,flower.density
3100,11.14743554,7
3101,11.25954984,7
3102,11.72069998,2
3103,3.358166728,13
3105,2.926698592,15
3106,2.758215305,15
3107,4.364474889,2
3108,2.966389986,16
3109,6.738039419,8
3110,6.738039419,8
3111,2.744523853,15
3112,12.66457765,1
3113,36.27016409,2
3114,36.27016409,2
3115,21.98462655,1
3116,17.19704797,2
3117,16.5527985,3
3118,19.54048638,2
3119,27.28640868,7
3120,27.28640868,4
4120,7.197624321,12
3121,5.951273785,23
3122,6.430825173,11
3123,5.85939872,20
3124,6.338536719,10
3127,5.864958259,19
3128,14.51080539,2
3129,14.51080539,2
3134,14.22444966,2
3080,10.97917373,11
3081,9.96700159,7
3082,9.386091563,18
3083,10.06679381,41
3084,10.24082349,43
3085,9.299423245,13
3086,8.094261421,31
3087,10.27923556,11
3088,9.534984807,1
3089,3.377401033,9
3090,2.837715396,35
3091,4.751715506,3
3092,5.004962922,3
3093,3.779787097,3
3094,6.366579799,3
3097,19.95003469,1
3098,12.86766339,1
3099,12.49492063,1
