SiteName,UTM83_E,UTM83_N,Longitude,Latitude,Basin
AirplaneLake,688835,5002939,-114.5976009,45.15466093,Sheepeater
BachelorMeadow,688500,4998900,-114.6033821,45.11842442,Skyhigh
BarkingFoxLake,687944,5000006,-114.6100295,45.12851975,Terrace
BobLake,690127,4999150,-114.5826196,45.12023703,Harbor
CacheLake,688777,4997264,-114.6004804,45.10363656,Skyhigh
DoeLake,688968,4996458,-114.5983589,45.0963365,Skyhigh
EggWhiteLake,688568,4997936,-114.6028815,45.10973621,Skyhigh
ElenasLake,688927,5004222,-114.595946,45.16617528,Sheepeater
FawnLake,688911,4996632,-114.599017,45.09791665,Skyhigh
FrogPondLake,688873,4998211,-114.598904,45.11212809,Skyhigh
GentianLake,689800,5002750,-114.5854068,45.15270229,Birdbill
GentianPonds,689939,5002843,-114.5836047,45.15350132,Birdbill
GoldenLake,690220,5003775,-114.579678,45.16180772,Glacier
GreggsLake,688083,4996003,-114.6097675,45.09248016,TipTop
InandOutLake,688287,4998472,-114.6062489,45.11463182,Skyhigh
MeadowLake,690900,5002500,-114.571521,45.15015727,Birdbill
MooseLake,688549,4995538,-114.6040256,45.08817393,TipTop
Mt.WilsonLake,687645,4995325,-114.6155828,45.08649856,Skyhigh
NopezLake,686915,5002250,-114.6222642,45.14897516,ShipIsland
ParagonLake,687427,4994716,-114.6185782,45.081079,TipTop
ParagonWetland,687170,4994770,-114.6218207,45.0816327,TipTop
PotholeLake,690487,5004135,-114.5761464,45.16497339,Glacier
RamshornLake,687914,4994972,-114.6122999,45.0832523,TipTop
ShipIslandLake,686850,5003800,-114.6225104,45.16293295,ShipIsland
SkyhighLake,688146,4998815,-114.607911,45.11775428,Skyhigh
StockingCapLake,690001,5002946,-114.5827774,45.15441098,Birdbill
Terrace1Lake,688220,5000600,-114.6062993,45.13378862,Terrace
TwinCoveLake,688535,4996708,-114.603763,45.09870052,Skyhigh
WalkaboutLake,688020,4993875,-114.6113656,45.07335776,TipTop
WelcomeLake,689493,4999844,-114.5904106,45.12664899,Harbor
